mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__class_weight,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
4.002188086509705,0.03695785999298096,1.1771165132522583,0.01674830913543701,balanced,5,1,50,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 1, 'estimator__n_estimators': 50}",0.6005496588324488,0.5996115759944374,0.6000806174134431,0.0004690414190057224,16,0.6376309102567147,0.6397257975599818,0.6386783539083483,0.0010474436516335617
7.316822409629822,0.07631456851959229,1.8162519931793213,0.010010004043579102,balanced,5,1,100,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 1, 'estimator__n_estimators': 100}",0.6090187468333051,0.6284888584683246,0.6187538026508148,0.009735055817509719,13,0.644290757846883,0.6702935222672065,0.6572921400570448,0.013001382210161727
3.703050374984741,0.025725603103637695,1.1883056163787842,0.006371498107910156,balanced,5,5,50,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 5, 'estimator__n_estimators': 50}",0.5907408700509741,0.6089245182788429,0.5998326941649085,0.009091824113934388,17,0.6195490814622379,0.6382763601348098,0.6289127207985239,0.009363639336285978
7.373700022697449,0.020861029624938965,1.8937010765075684,0.004928112030029297,balanced,5,5,100,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 5, 'estimator__n_estimators': 100}",0.6191269094331427,0.617921321029626,0.6185241152313844,0.0006027942017583499,14,0.646886411685566,0.6494972743791642,0.6481918430323651,0.0013054313467990575
3.5409621000289917,0.007854819297790527,1.2095649242401123,0.054847002029418945,balanced,5,10,50,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 10, 'estimator__n_estimators': 50}",0.5972952140704926,0.5886282904796631,0.5929617522750779,0.004333461795414717,18,0.6224130287687534,0.6190576504458957,0.6207353396073245,0.0016776891614288525
7.341850399971008,0.015134692192077637,1.998737096786499,0.0024611949920654297,balanced,5,10,100,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 10, 'estimator__n_estimators': 100}",0.6134475907796155,0.6204676380887835,0.6169576144341995,0.0035100236545839714,15,0.6356071624424787,0.6483558807953397,0.6419815216189092,0.0063743591764304774
15.261082530021667,0.07755935192108154,1.7570364475250244,0.025629520416259766,balanced,25,1,50,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 25, 'estimator__min_samples_leaf': 1, 'estimator__n_estimators': 50}",0.7019891944990176,0.6964351117079721,0.6992121531034949,0.0027770413955227613,7,0.9261940043314716,0.9243798118049615,0.9252869080682166,0.000907096263255025
30.10882604122162,0.44801199436187744,3.167139410972595,0.012155413627624512,balanced,25,1,100,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 25, 'estimator__min_samples_leaf': 1, 'estimator__n_estimators': 100}",0.7104794646694088,0.7075121831611855,0.7089958239152971,0.0014836407541116703,4,0.9315013711151737,0.9329821648392546,0.9322417679772141,0.0007403968620404155
12.488535404205322,0.05674862861633301,1.8353099822998047,0.07258987426757812,balanced,25,5,50,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 25, 'estimator__min_samples_leaf': 5, 'estimator__n_estimators': 50}",0.7097200560416611,0.70745231210039,0.7085861840710255,0.0011338719706355804,5,0.8084262953269128,0.8153058612746352,0.8118660783007741,0.0034397829738612162
25.797003030776978,0.18680500984191895,3.6174036264419556,0.10253560543060303,balanced,25,5,100,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 25, 'estimator__min_samples_leaf': 5, 'estimator__n_estimators': 100}",0.7174261018034361,0.718043501553627,0.7177348016785315,0.0003086998750954084,3,0.8199212155317952,0.823102089183132,0.8215116523574636,0.0015904368256683954
11.472825050354004,0.1850910186767578,1.9276639223098755,0.0025309324264526367,balanced,25,10,50,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 25, 'estimator__min_samples_leaf': 10, 'estimator__n_estimators': 50}",0.6837322097837004,0.6911360062893082,0.6874341080365043,0.00370189825280387,10,0.7548520107111543,0.7595885802172451,0.7572202954641997,0.002368284753045402
27.783890962600708,0.529994010925293,5.591794490814209,0.05439949035644531,balanced,25,10,100,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 25, 'estimator__min_samples_leaf': 10, 'estimator__n_estimators': 100}",0.69800753370341,0.6923626685067895,0.6951851011050998,0.0028224325983102205,9,0.7629290727477424,0.7646817842253657,0.7638054284865541,0.0008763557388116738
36.6956090927124,0.6343269348144531,4.995327949523926,0.13469219207763672,balanced,50,1,50,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 50, 'estimator__min_samples_leaf': 1, 'estimator__n_estimators': 50}",0.6568032985690031,0.6488443330548593,0.6528238158119313,0.003979482757071884,12,0.982989133526768,0.9840474020054695,0.9835182677661187,0.0005291342393507481
97.81419670581818,0.7187255620956421,6.758121490478516,0.05997753143310547,balanced,50,1,100,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 50, 'estimator__min_samples_leaf': 1, 'estimator__n_estimators': 100}",0.6665053242981607,0.6594942401494448,0.6629997822238027,0.003505542074357937,11,0.9864561742241403,0.9859371441585061,0.9861966591913232,0.00025951503281712585
39.97140860557556,0.15097856521606445,4.88250732421875,0.08738231658935547,balanced,50,5,50,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 50, 'estimator__min_samples_leaf': 5, 'estimator__n_estimators': 50}",0.7275794514584241,0.7254352395838948,0.7265073455211595,0.0010721059372646446,2,0.8596652378036334,0.8576319689304512,0.8586486033670423,0.0010166344365910573
57.8612425327301,0.3073902130126953,6.547161936759949,0.030875086784362793,balanced,50,5,100,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 50, 'estimator__min_samples_leaf': 5, 'estimator__n_estimators': 100}",0.7338854683158067,0.7307859078590786,0.7323356880874426,0.0015497802283640505,1,0.8627491005588017,0.8636398555734809,0.8631944780661414,0.0004453775073395838
23.802926659584045,0.17311155796051025,3.4193543195724487,0.07194340229034424,balanced,50,10,50,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 50, 'estimator__min_samples_leaf': 10, 'estimator__n_estimators': 50}",0.6978471764044669,0.6948528515348792,0.696350013969673,0.001497162434793864,8,0.7778973471201984,0.7835163281654964,0.7807068376428474,0.0028094905226490052
32.71184277534485,0.5538339614868164,4.133092522621155,0.02404773235321045,balanced,50,10,100,"{'estimator__class_weight': 'balanced', 'estimator__max_depth': 50, 'estimator__min_samples_leaf': 10, 'estimator__n_estimators': 100}",0.7028464493253226,0.7023164120256283,0.7025814306754754,0.0002650186498471263,6,0.7879216462767838,0.7924635890612749,0.7901926176690294,0.0022709713922455244
